question1_stemmed,question2_stemmed,scores,is_duplicate
new year resolut 2017,creativ new year resolut 2017,0.8181802073667197,1
bad dream,get bad dream,0.7092972666062738,0
slav squat,squat work men,0.2605556710562624,0
mani mark score aiim rank 151,minimum mark score get among top 50 aiim,0.27982806524328774,0
oper room two surgeon equal experi disagre surgic procedur tie broken,doctor surgeon hold surgeri 6 hour long rest oper,0.12083223046959846,0
mani month take gain knowledg develop android app scratch,much time take learn android app develop scratch,0.42113589132819584,1
love bodi guy,make whole bodi fair wheatish indian guy,0.2910691023819054,0
right prison,prison right would,0.7092972666062738,1
get free gem clash clan,get free gem clash clan,0.9999999999999999,1
app like word len,word len use ocr,0.3360969272762575,0
ex girlfriend suffer malaria deep urg visit placement idea,worri girlfriend text ex boyfriend till 4,0.1597642092414444,0
best way get traffic websit,get traffic websit,0.6569729210330906,1
feel someon upvot answer quora,feel see upvot answer quora,0.6694188517266485,1
best film tv show featur strong femal protagonist,best femal strong charact film,0.4743307064971939,1
far would go love wait one love ir move,thirteen year old best thing health,0.0,0
peopl die,peopl die,0.9999999999999998,0
cloth made polyest instead cotton,cotton cloth made,0.6569729210330906,0
bone marrow,bone marrow tast like,0.5797386715376657,0
slave name reddic,ancient rome slave brand happen brand mark subsequ liber,0.09865621511919304,0
long take dead bodi float surfac drown,dead bodi river long take float,0.6327904583679949,1
get friend talk 3 year still miss,get someon love broke last year still miss,0.41120705506761857,0
travel new region better immers 1–2 citi see mani citi cram,way explor world without spend money,0.0,0
make money onlin free cost,make money onlin,0.6569729210330906,1
buy best qualiti custom cupcak gold coast,find delici cupcak gold coast,0.34464214103805474,1
success odd even plan,success delhi odd even plan,0.8181802073667197,1
war india pakistan win,win war start india pakistan,0.8181802073667197,1
deal fear die,reduc fear die,0.5031026124151314,1
would estim cost repair crack screen iphon 6,price pay repair broken iphon 6 screen done,0.275195812175023,0
interest product innov mcdonald come 2016,interest product innov ball come 2016,0.7168117414430624,0
end univers univers infinit,univers infinit end univers,1.0000000000000002,1
cpagrip com,bestmytest com,0.3360969272762574,0
much fund rais,much money rais,0.5031026124151314,1
anna hazar think pm modi,peopl think mr arvind kejriw aap,0.10163066979112656,0
effect ban 500 1000 note stock market india,effect ban 1000rs 500rs note stock market,0.5056055588739691,1
concentr contract differ eccentr contract,concentr eccentr contract compar contrast,0.5372450751597531,1
puppet use yoda episod suck bad,peopl question news post opinion post social media websit,0.0,0
onlin platform post ad beer money opportun,onlin platform post ad beer money opportun,0.9999999999999997,0
mean life,mean life,0.9999999999999998,1
start small busi effect,start small busi construct,0.6029748160380572,0
acquir posit moral,time deposit rd fd type time deposit,0.0,0
need friend,need friend,0.9999999999999998,0
exist,exist,1.0,0
best hollywood thriller movi,best thriller movi hollywood,1.0,1
repeat second year colleg find new colleg 5 year cours,studi ashutosh colleg kolkata studi colleg india second year,0.3823891415820982,0
petrol diesel pump fill station use motor without ignit fire,happen fill petrol car diesel solut incid happen,0.17828145388467143,0
job possibl exist bachelor homeland secur,job avail bachelor ’ degre homeland secur,0.5031026124151313,1
best book understand calculus,good book self studi calculus,0.29121941856368966,1
break,break ex,0.5797386715376657,1
use jio sim iphon 5s,iphon 5s support jio volt,0.43161341897075145,0
unwritten rule usa,unwritten rule home,0.5031026124151314,0
best answer two year gap job interview,best excus explain gap one two year job career job interview,0.602924908385507,1
best song low voic,song sweet airi mezzo voic,0.29121941856368966,0
anyon predict birth chart,tell regard birth chart,0.3360969272762575,0
birth trigonometr function,creator trigonometri,0.0,0
say mean trust everyth see even salt look like sugar,peopl say tri pleas other nice other mean pleas,0.09730855609392253,0
countri prevent war,countri prevent war,1.0000000000000002,1
becom billionair,becom billionair financ,0.7092972666062738,1
learn web design,learn web design,1.0000000000000002,0
best line calend schedul book system someth allow show avail custom request meet accept request appoint pop calendar remind autom,web servic send appoint sms remind custom extract data googl calendar,0.1506297755174359,0
indian gdp affect ban 500 1000 rupe note,implic ban 500 1000 rupe currenc note indian economi,0.5507796339456278,1
understand death philosoph,make understand death philosoph,0.7765145304745156,1
dog consid omnivor,dog carnivor anim,0.20199309249791833,1
like cheat upon relationship,like relationship someon cheat,0.6029748160380572,0
know someon block text,turn user id text someon block,0.4501755023269898,0
interest food eaten countri,delici dish ever eaten,0.1443835552773867,1
like privat banker,like privat banker switzerland,0.7765145304745156,0
journal,journal,1.0,0
one increas concentr,improv concentr,0.2605556710562624,1
see sent invit linkedin pend invit,person linkedin invit think sent colleagu invit linkedin get chanc person,0.445577133055821,0
pros con german shepherd dog,pros con pet german shepherd,0.6694188517266485,1
differ deism agnostic,differ hobbi habit,0.20199309249791833,0
male porn star masturb ejacul,ok husband wife masturb togeth consid cheat partner masturb without consent,0.14364604878100165,0
much cgpa requir get admiss mtech cse iit madra,get job consult firm mtech cse iit,0.3408242166238352,0
biolog reason peopl cri emot,biolog reason cri,0.6569729210330906,0
5 fact earth crust,earth core affect crust,0.4112070550676187,0
isro use friction stir weld technolog,guy evalu current relationship feel worri temptat hang girl friend,0.0,0
wish simul fake locat app run io devic fake gps locat io without jailbreak non coder,fake iphon locat without jailbreak,0.4227947548414128,0
would best way quit smoke,quit stop smoke,0.3563004293331381,1
best program languag tcs,best program languag,0.7765145304745156,0
earthquak resist home,earthquak resist build work,0.4112070550676187,1
kristen stewart bad actress,jennif lawrenc bad actress,0.3360969272762575,0
japanes guy tri look feminin girl find gross,guy india becom desper know girl alway look relationship would hurt guy becom friend first,0.19804799476643656,0
five popular sugar daddi websit,like date cougar sugar daddi,0.2523342014336961,0
vtu first sem exam time tabl 2016 dec,frame time tabl 4 month crack gate 2016,0.2532094495161745,0
best phone buy 15k,best mobil phone buy 15000,0.5101490193104813,1
start busi,start busi noth,0.7092972666062738,1
best near death experi ever,anyon ever near death experi,0.6694188517266485,1
keep get flea dog,keep dog get flea,1.0,1
year letter j come,letter j creat,0.2605556710562624,1
harvard colleg cours general shop advic turkish class,harvard colleg cours general shop advic tamil class,0.7799154245579976,0
send messag one android phone anoth android phone bluetooth,transfer contact one android phone anoth android phone,0.6708868001754189,0
import book ever written,import book ever read,0.6029748160380572,1
univers sigma design recruit new grad major look,univers sigma aldrich recruit new grad major look,0.7799154245579976,0
phil india master uk psycholog,master student interest work humanitarian sector skill requir medic doctor master uk,0.22327321285072343,0
univers powel industri recruit new grad major look,univers chart industri recruit new grad major look,0.7799154245579976,0
best movi poster come across,best icon movi poster,0.5101490193104813,0
exampl deuteromycota form,could bitcoin mine done singl raspberri pi,0.0,0
racist racist,racist,1.0,0
differ howev nevertheless,differ among,0.2605556710562624,0
canada gees realli canadian,canadian call canada,0.4112070550676187,0
find zero polynomi function math f x dfrac 1 2 x 3 3x math,would find zero function math frac 4x 2 36x x 9 math,0.5043749694851543,0
edit devic googl play account,add second devic googl play account,0.5803329846765685,0
becom good speaker,good speaker,0.7092972666062738,1
write letter mr narendra modi,write narendra modi,0.6569729210330906,1
elect general presidenti elect donald trump ted cruz,delusion donald trump ted cruz,0.4109954639349511,0
name bastard snow,jon snow ned bastard ladi catelyn hate much,0.26951761324603224,0
think bermuda triangl,theori bermuda triangl,0.5031026124151314,1
mexican girl like black guy,girl like black guy beard,0.6694188517266485,0
live tini hous,would live tini hous,0.7765145304745156,0
boy girl call 1 6 year old 6 11year old 11 14 year old 14 18 year old,18 year old boy love girl 14 year old live tamil nadu time propos,0.6317172902231155,0
debeak cockerel 8 month old,much feed 3 month old raven,0.29121941856368966,0
someon overcom anxieti,avoid depress anxieti,0.20199309249791833,1
avoid whey yogurt,bad breath sign strong stomach,0.0,0
im love bisexu best friend also guy girlfriend want tell move,girl love best friend also girl,0.2746117864358065,0
best univers germani ms,best univers germani get degre mechan engin,0.4073526042885674,0
maintain peac mind,maintain peac mind,1.0000000000000002,1
car good build qualiti india,volkswagen good reliabl car,0.29121941856368966,0
massag one templ sooth migrain headach,caus effect way treat cure migrain headach,0.18443191662261305,0
one better among kmc manip kmc mangalor,brief comparison kmc manip mangalor,0.43933873404633084,1
bestfriend still ignor,bestfriend ignor,0.7092972666062738,0
sensor avail acer liquid z630s android smart phone use cpu z app,use android phone app avail googl play store,0.36847993185778133,0
keep motiv learn languag,keep motiv learn new languag,0.8181802073667197,1
top assess compani india,top firm skill assess industri india global,0.4073526042885674,0
mean emoticon,emoticon “ ” mean,0.9999999999999998,0
pinkish discharg normal earli pregnanc caus,nichola piram 17500 cr,0.0,0
best way proper finger,would best way keep amus prison,0.2605556710562624,0
scientist work,scientist work,0.9999999999999998,0
mani sponsor candid shortlist cmc vellor,offic cultur woke patanjali offic haridwar,0.0,0
differ chines wed ceremoni western wed ceremoni,differ chines western style wed,0.5298787228436411,1
condit tourism pakistan,prefer pg cours eee student tamil nadu,0.0,0
differ offshor onshor fund,differ offshor onshor,0.7765145304745156,0
one hate shahrukh khan,peopl hate shahrukh khan peopl feel indian,0.3489939079552687,1
best self help book ever read,top self help book read,0.5803329846765685,1
evernot use,evernot use,0.9999999999999998,1
titl continu gift magi,start continu gift magi,0.6029748160380572,0
good song lyric prank best friend,good lyric prank song send best friend,0.8673636849609287,1
argu gf made friend person hit said control freak want freedom,girl middl school best friend girl found bisexu tell best friend girl without freak chang whole friendship,0.09690597215166952,0
pass drug test methamphetamin,hair dye help pass hair follicl drug test daili meth smoker,0.2819602004268559,1
could start open sourc develop,start contribut open sourc project,0.43161341897075145,1
dream look real,dream kind harm injuri real life,0.31878402175377923,0
cricket player realli drink tea tea break,cricket actual drink tea tea break,0.7060777744337088,1
get entri mit,requir select mit,0.20199309249791833,1
